FK_SENTENCE	end_	id	start_	text
1	14	T1	0	About 20 kids
2	7	T2	0	a house
2	24	T3	12	a green wall
3	6	T4	0	a sign
4	11	T5	0	a rock hole
5	93	T6	80	the other one
6	17	T7	0	a yellow building
7	14	T8	0	two palm trees
8	4	T9	0	cars
9	7	T10	0	a woman
9	19	T11	12	a child
10	16	T12	0	a large building
10	42	T13	31	a palm tree
10	87	T14	77	white cars
11	23	T15	10	red umbrellas
12	6	T16	0	people
12	44	T17	38	others
12	66	T18	62	road
13	22	T19	0	a white , large statue
15	6	T20	0	bushes
15	22	T21	11	small trees
16	6	T22	0	street
17	22	T23	10	white clouds
19	35	T24	16	high-rise buildings
19	49	T25	40	a stadium
20	21	T26	0	a cascading waterfall
21	20	T27	16	pool
22	5	T28	0	a man
22	36	T29	29	a woman
22	97	T30	88	a lookout
23	11	T31	0	green trees
23	25	T32	14	black rocks
23	40	T33	30	a grey sky
24	37	T34	8	giant , thunderous waterfalls
25	12	T35	0	white clouds
25	26	T36	23	sky
27	10	T37	0	a blue sky
28	24	T38	0	A narrow , rising street
28	87	T39	74	a green house
28	118	T40	107	a white car
28	170	T41	147	a blue-and-white church
29	7	T42	0	one car
30	22	T43	10	a few people
30	61	T44	41	a large thundercloud
31	44	T45	16	church towers with pinnacles
33	55	T46	48	a cross
34	97	T47	91	alleys
35	10	T48	0	the towers
35	58	T49	54	rest
36	50	T50	36	the two towers
36	72	T51	64	the rest
37	38	T52	26	the old town
39	11	T53	0	some clouds
40	16	T54	10	people
40	44	T55	34	palm trees
42	19	T56	0	the Paraguayan flag
43	20	T57	10	dark palms
43	53	T58	45	blue sky
44	10	T59	0	steam ship
45	8	T60	0	the flag
46	10	T61	0	a blue sky
47	105	T62	95	a blue sky
49	5	T63	0	trees
50	11	T64	0	Four locals
50	34	T65	27	a bench
53	38	T66	32	a gate
53	65	T67	59	towers
54	20	T68	10	dark trees
54	53	T69	43	a blue sky
55	40	T70	27	the cathedral
56	103	T71	96	a cross
57	16	T72	9	a clock
58	11	T73	0	streetlamps
59	5	T74	0	bells
