112	stairs	About 20 kids in traditional clothing and hats waiting on stairs .
112	the background	a house and a green wall with gate in the background .
116	the ground	a rock hole in the ground surrounded by sand .
116	sand	a rock hole in the ground surrounded by sand .
116	him	one man in a white tee-shirt , grey pants and a white cap is holding a shovel , the other one is wearing black pants , a white jumper and a traditional hat , is walking towards him .
25	the background	a yellow building with white columns in the background .
25	the house	two palm trees in front of the house .
25	house	cars parked in front of the house .
25	the square	a woman and a child are walking over the square .
26	picture	a large building on the left , a palm tree in centre of picture , ( mostly ) white cars in the street at a junction , some of them turning left , others going straight .
26	the street	a large building on the left , a palm tree in centre of picture , ( mostly ) white cars in the street at a junction , some of them turning left , others going straight .
26	a junction	a large building on the left , a palm tree in centre of picture , ( mostly ) white cars in the street at a junction , some of them turning left , others going straight .
26	a park	there are red umbrellas in a park on the right .
26	the park	people are walking through the park , others are crossing the road in the foreground .
26	the road	people are walking through the park , others are crossing the road in the foreground .
26	the foreground	people are walking through the park , others are crossing the road in the foreground .
28	a hill	a white , large statue with spread arms on a hill .
28	the hill	bushes and small trees on the hill .
28	the hill	street leading up the hill .
28	the blue sky	there are white clouds in the blue sky .
32	the centre	there are a few high-rise buildings and a stadium in the centre .
33	the jungle	a cascading waterfall in the middle of the jungle .
33	the foreground	front view with pool of dirty water in the foreground .
35	a lookout	a man in a red tee-shirt and a woman carrying a red bag are watching some waterfalls on a lookout in the foreground .
35	the foreground	a man in a red tee-shirt and a woman carrying a red bag are watching some waterfalls on a lookout in the foreground .
35	the background	green trees , black rocks and a grey sky in the background .
38	a u-shaped cliff	View of giant , thunderous waterfalls over a u-shaped cliff .
38	a blue sky	white clouds in a blue sky in the background .
38	the background	white clouds in a blue sky in the background .
40	the background	a blue sky with white fleecy clouds in the background .
42	both sides	A narrow , rising street with colourful houses on both sides , among them a green house with balconies and a white car parked in front of it , and a blue-and-white church on the right .
42	them	A narrow , rising street with colourful houses on both sides , among them a green house with balconies and a white car parked in front of it , and a blue-and-white church on the right .
42	it	A narrow , rising street with colourful houses on both sides , among them a green house with balconies and a white car parked in front of it , and a blue-and-white church on the right .
42	the street	one car is going up the street .
42	the street	there are a few people in the street and a large thundercloud in the background .
42	the background	there are a few people in the street and a large thundercloud in the background .
45	four sides	two light brown church towers with pinnacles on all four sides .
45	top	the artful central nave is a bit darker and has a cross on top .
47	the shade	View of an old town of a city with its colourful buidings and two churches from one of its alleys in the shade .
47	the sun	the towers of the churches are still in the sun , the rest in already in the shade .
47	the shade	the towers of the churches are still in the sun , the rest in already in the shade .
48	the sun	a white and blue church , with only the two towers in the sun , the rest in the shade .
48	the shade	a white and blue church , with only the two towers in the sun , the rest in the shade .
48	the background	view from the side , with the old town of a city in the background .
49	the sky	some clouds in the sky .
49	the beach	there are people at the beach and palm trees in the background .
49	the background	there are people at the beach and palm trees in the background .
51	the building	the Paraguayan flag is waving on top of the building .
51	the foreground	there are dark palms in the foreground and a blue sky in the background .
51	the background	there are dark palms in the foreground and a blue sky in the background .
52	a lake	steam ship in a lake , docked .
52	the bow	the flag of Paraguay at the bow of the ship .
52	the background	a blue sky in the background .
53	the background	a grey building with many columns and arches and the modern high-rise buildings of a city with a blue sky in the background .
54	the background	trees in the background .
546	a bench	Four locals are sitting on a bench in a canteen kitchen , leaning on a red brick wall .
