FK_SENTENCE	end_	id	start_	text
1	64	L1	58	stairs
2	52	L2	38	the background
3	-1	L3	-1	
4	25	L4	15	the ground
4	44	L5	40	sand
5	180	L6	177	him
6	54	L7	40	the background
7	36	L8	27	the house
8	33	L9	28	house
9	47	L10	37	the square
10	-1	L11	-1	
10	63	L12	56	picture
10	101	L13	91	the street
10	115	L14	105	a junction
11	33	L15	27	a park
11	-1	L16	-1	
12	35	L17	27	the park
12	66	L18	58	the road
12	84	L19	70	the foreground
13	49	L20	43	a hill
15	34	L21	26	the hill
16	26	L22	18	the hill
17	38	L23	26	the blue sky
19	63	L24	53	the centre
20	49	L25	39	the jungle
21	53	L26	39	the foreground
22	97	L27	88	a lookout
22	115	L28	101	the foreground
23	58	L29	44	the background
24	59	L30	43	a u-shaped cliff
25	26	L31	16	a blue sky
25	44	L32	30	the background
27	53	L33	39	the background
28	60	L34	50	both sides
28	73	L35	69	them
28	140	L36	138	it
28	-1	L37	-1	
29	30	L38	20	the street
30	36	L39	26	the street
30	79	L40	65	the background
31	62	L41	52	four sides
33	62	L42	59	top
34	110	L43	101	the shade
35	47	L44	40	the sun
35	82	L45	73	the shade
36	61	L46	54	the sun
36	85	L47	76	the shade
37	66	L48	52	the background
39	22	L49	15	the sky
40	29	L50	20	the beach
40	62	L51	48	the background
42	52	L52	40	the building
43	38	L53	24	the foreground
43	71	L54	57	the background
44	20	L55	14	a lake
45	31	L56	24	the bow
46	28	L57	14	the background
47	123	L58	109	the background
49	23	L59	9	the background
50	34	L60	27	a bench
50	55	L61	38	a canteen kitchen
50	85	L62	75	brick wall
53	51	L63	42	the shade
53	87	L64	69	its left and right
54	38	L65	24	the foreground
54	71	L66	57	the background
55	52	L67	44	Asuncion
56	110	L68	107	top
57	35	L69	20	the right tower
58	30	L70	15	the middle gate
58	49	L71	38	the corners
59	28	L72	22	towers
60	48	L73	34	the foreground
60	111	L74	97	the background
61	-1	L75	-1	
62	112	L76	98	the foreground
63	57	L77	45	the building
64	-1	L78	-1	
66	37	L79	29	entrance
68	46	L80	34	the big roof
69	23	L81	9	the foreground
70	-1	L82	-1	
71	15	L83	9	street
72	34	L84	22	the sidewalk
72	65	L85	55	the street
73	49	L86	39	the street
74	9	L87	0	an avenue
75	61	L88	50	their taxis
76	23	L89	19	them
77	44	L90	35	a terrace
77	62	L91	48	the foreground
78	62	L92	48	the background
79	51	L93	39	a green lawn
79	69	L94	55	the foreground
80	41	L95	39	it
81	13	L96	0	a huge column
81	-1	L97	-1	
82	46	L98	32	the background
84	38	L99	25	one tiny spot
85	-1	L100	-1	
