behind it a bar with chairs and two people , and a bench with one person lying on it . 	 two people 	32	42	1	0
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 person 	66	72	0	1
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 a bar 	10	15	0	1
upper level with doors and a blue rail . 	 doors 	17	22	1	0
upper level with doors and a blue rail . 	 doors 	17	22	0	0
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 a bar 	10	15	0	0
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 a bar 	10	15	0	0
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 person 	66	72	0	0
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 person 	66	72	0	0
behind it a bar with chairs and two people , and a bench with one person lying on it . 	 a bar 	10	15	0	0
Interior view of a room with a large bed with red bedcovers , a white wooden desk and chair below a TV fixed in the corner , a white fridge and a glass door with a wooden frame leading onto a veranda and garden . 	 a large bed 	29	40	0	1
Interior view of a room with a large bed with red bedcovers , a white wooden desk and chair below a TV fixed in the corner , a white fridge and a glass door with a wooden frame leading onto a veranda and garden . 	 a wooden frame 	162	176	0	0
Interior view of a room with a large bed with red bedcovers , a white wooden desk and chair below a TV fixed in the corner , a white fridge and a glass door with a wooden frame leading onto a veranda and garden . 	 a glass door 	144	156	1	0
Interior view of a room with a large bed with red bedcovers , a white wooden desk and chair below a TV fixed in the corner , a white fridge and a glass door with a wooden frame leading onto a veranda and garden . 	 a wooden frame 	162	176	0	0
Interior view of a room with a large bed with red bedcovers , a white wooden desk and chair below a TV fixed in the corner , a white fridge and a glass door with a wooden frame leading onto a veranda and garden . 	 chair 	86	91	0	0
Interior view of a room with a large bed with red bedcovers , a white wooden desk and chair below a TV fixed in the corner , a white fridge and a glass door with a wooden frame leading onto a veranda and garden . 	 a veranda 	190	199	0	1
a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . 	 trees 	121	126	0	0
a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . 	 stairs 	36	42	0	0
a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . 	 the left 	46	54	0	0
a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . 	 trees 	121	126	1	0
a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . 	 the house 	107	116	0	1
blue sky in the background . 	 blue sky 	0	8	0	0
blue sky in the background . 	 blue sky 	0	8	0	0
